Dealer name,Dealer adress,Purchase price,Reselling price,Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
Autocenter Koch GmbH,"Feldstraße 6
16356 Ahrensfelde
,,,12405,Jeep-Renegade-1.6-E-torQ-Longitude-PDC-Klima-4Season,,,,,,,,9 Monate,,2500 km,,,ADA,0,,0,deny,manual,565,,FALSCH,WAHR
,,,13130,Jeep-Renegade-1.6-E-torQ-Longitude-PDC-Klima-4Season,,,,,,,,10 Monate,,500 km,,,ADA,0,,0,deny,manual,451,,FALSCH,WAHR
,,,12881,Jeep-Renegade-1.6-E-torQ-Longitude-PDC-Klima-4Season,,,,,,,,10 Monate,,1000 km,,,ADA,0,,0,deny,manual,479,,FALSCH,WAHR
,,,12632,Jeep-Renegade-1.6-E-torQ-Longitude-PDC-Klima-4Season,,,,,,,,10 Monate,,1500 km,,,ADA,0,,0,deny,manual,506,,FALSCH,WAHR
,,,12383,Jeep-Renegade-1.6-E-torQ-Longitude-PDC-Klima-4Season,,,,,,,,10 Monate,,2000 km,,,ADA,0,,0,deny,manual,534,,FALSCH,WAHR
,,,12133,Jeep-Renegade-1.6-E-torQ-Longitude-PDC-Klima-4Season,,,,,,,,10 Monate,,2500 km,,,ADA,0,,0,deny,manual,561,,FALSCH,WAHR
,,,12958,Jeep-Renegade-1.6-E-torQ-Longitude-PDC-Klima-4Season,,,,,,,,11 Monate,,500 km,,,ADA,0,,0,deny,manual,448,,FALSCH,WAHR
,,,12684,Jeep-Renegade-1.6-E-torQ-Longitude-PDC-Klima-4Season,,,,,,,,11 Monate,,1000 km,,,ADA,0,,0,deny,manual,476,,FALSCH,WAHR
,,,12410,Jeep-Renegade-1.6-E-torQ-Longitude-PDC-Klima-4Season,,,,,,,,11 Monate,,1500 km,,,ADA,0,,0,deny,manual,503,,FALSCH,WAHR
,,,12136,Jeep-Renegade-1.6-E-torQ-Longitude-PDC-Klima-4Season,,,,,,,,11 Monate,,2000 km,,,ADA,0,,0,deny,manual,531,,FALSCH,WAHR
,,,11862,Jeep-Renegade-1.6-E-torQ-Longitude-PDC-Klima-4Season,,,,,,,,11 Monate,,2500 km,,,ADA,0,,0,deny,manual,558,,FALSCH,WAHR
,,,12786,Jeep-Renegade-1.6-E-torQ-Longitude-PDC-Klima-4Season,,,,,,,,12 Monate,,500 km,,,ADA,0,,0,deny,manual,445,,FALSCH,WAHR
,,,12487,Jeep-Renegade-1.6-E-torQ-Longitude-PDC-Klima-4Season,,,,,,,,12 Monate,,1000 km,,,ADA,0,,0,deny,manual,473,,FALSCH,WAHR
,,,12188,Jeep-Renegade-1.6-E-torQ-Longitude-PDC-Klima-4Season,,,,,,,,12 Monate,,1500 km,,,ADA,0,,0,deny,manual,501,,FALSCH,WAHR
,,,11889,Jeep-Renegade-1.6-E-torQ-Longitude-PDC-Klima-4Season,,,,,,,,12 Monate,,2000 km,,,ADA,0,,0,deny,manual,528,,FALSCH,WAHR
,,,11590,Jeep-Renegade-1.6-E-torQ-Longitude-PDC-Klima-4Season,,,,,,,,12 Monate,,2500 km,,,ADA,0,,0,deny,manual,556,,FALSCH,WAHR
Autocenter Koch GmbH,"Feldstraße 6
16356 Ahrensfelde
Deutschland",9290,8844,Mazda-2-1.5l-MZR-102PS-5Türer-SPORTS-SHZ-Scheckheft,Mazda 2 1.5l MZR 102PS 5Türer SPORTS SHZ Scheckheft,"<p>
<strong>Abholadresse</strong>
Feldstraße 6
16356 Ahrensfelde
Deutschland<br>
<strong>Fahrzeugzustand</strong>
Unfallfrei<br>
<strong>Kategorie</strong>
Limousine<br>
<strong>Herkunft</strong>
Deutsche Ausführung<br>
<strong>Kilometerstand</strong>
36.500 km<br>
<strong>Hubraum</strong>
1.498 cm³<br>
<strong>Leistung</strong>
75 kW (102 PS)<br>
<strong>Kraftstoffart</strong>
Benzin<br>
<strong>Verbrauch</strong><br>
ca. 5,8 l/100km (kombiniert)<br>
ca. 7,6 l/100km (innerorts)<br>
ca. 4,8 l/100km (außerorts)<br>
<strong>CO2-Emission</strong>
ca. 137 g/km (kombiniert)<br>
<strong>Anzahl der Türen</strong>
4/5<br>
<strong>Anzahl Sitzplätze</strong>
5<br>
<strong>Getriebe</strong>
Schaltgetriebe<br>
<strong>Schadstoffklasse</strong>
Euro5<br>
<strong>Umweltplakette</strong>
4 (Grün)<br>
<strong>Erstzulassung</strong>
10/2014<br>
<strong>Anzahl der Fahrzeughalter</strong>
2<br>
<strong>HU</strong>
Neu<br>
<strong>Klimatisierung</strong>
Klimaautomatik<br>
<strong>Farbe (Hersteller)</strong>
Graphitgrau<br>
<strong>Farbe</strong>
Grau Metallic<br>
<strong>Innenausstattung</strong>
Stoff, Andere<br>
<strong>Weitere Eigenschaften</strong><br>
ABS, Bordcomputer, CD-Spieler, Elektr. Fensterheber, Elektr. Seitenspiegel, Elektr. Wegfahrsperre, ESP, Garantie, Isofix, Lederlenkrad, Leichtmetallfelgen, Lichtsensor, Multifunktionslenkrad, Nebelscheinwerfer, Nichtraucher-Fahrzeug, Pannenkit, Regensensor, Scheckheftgepflegt, Servolenkung, Sitzheizung, Tempomat, Traktionskontrolle, Tuner/Radio, USB, Zentralverriegelung
</p>",Mazda,,"Marke_Mazda, Typ_Limousine, Alter_Alle, Kilometerstand_maximal 50.000 km,Kilometerstand_maximal 80.000 km,Kilometerstand_maximal 100.000 km, Leistung_100 bis 150 PS,Leistung_Alle, Schaltung_Schaltgetriebe, Farbe_Grau, Kraftstoff_Benzin, Zustand_Gebraucht, Preis_Premium (ab 400 €)",WAHR,Deine Abo Dauer,3 Monate,Dein monatliches Kilometerpaket,500 km,,,ADA,0,,0,deny,manual,401,,FALSCH,WAHR,,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/G0sAAOSwRu5ezqR8/$_27.JPG,1,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/CR0AAOSwKHNezqR8/$_27.JPG,2,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/OusAAOSwzStezqR8/$_27.JPG,3,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/7CkAAOSwJ9RezqR8/$_27.JPG,4,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/KnYAAOSwNK5ezqR8/$_27.JPG,5,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/qHEAAOSwjDJezqR8/$_27.JPG,6,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/GlEAAOSwgQZezqR8/$_27.JPG,7,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/eFoAAOSwG~RezqR8/$_27.JPG,8,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/C2EAAOSwAe1ezqR8/$_27.JPG,9,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/tw4AAOSwZmpezqR8/$_27.JPG,10,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/KHcAAOSwAhxezqR8/$_27.JPG,11,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/9KQAAOSwMTZezqR8/$_27.JPG,12,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/HPUAAOSwqvJezqR8/$_27.JPG,13,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/Q98AAOSwWT9ezqR8/$_27.JPG,14,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/ffcAAOSwVHlezqR8/$_27.JPG,15,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/G0sAAOSwRu5ezqR8/$_27.JPG,16,,,,,,,,,,,nil
,,,8797,Mazda-2-1.5l-MZR-102PS-5Türer-SPORTS-SHZ-Scheckheft,,,,,,,,3 Monate,,1000 km,,,ADA,0,,0,deny,manual,418,,FALSCH,WAHR
,,,8751,Mazda-2-1.5l-MZR-102PS-5Türer-SPORTS-SHZ-Scheckheft,,,,,,,,3 Monate,,1500 km,,,ADA,0,,0,deny,manual,436,,FALSCH,WAHR
,,,8704,Mazda-2-1.5l-MZR-102PS-5Türer-SPORTS-SHZ-Scheckheft,,,,,,,,3 Monate,,2000 km,,,ADA,0,,0,deny,manual,453,,FALSCH,WAHR
,,,8658,Mazda-2-1.5l-MZR-102PS-5Türer-SPORTS-SHZ-Scheckheft,,,,,,,,3 Monate,,2500 km,,,ADA,0,,0,deny,manual,470,,FALSCH,WAHR
,,,8728,Mazda-2-1.5l-MZR-102PS-5Türer-SPORTS-SHZ-Scheckheft,,,,,,,,4 Monate,,500 km,,,ADA,0,,0,deny,manual,381,,FALSCH,WAHR
,,,8666,Mazda-2-1.5l-MZR-102PS-5Türer-SPORTS-SHZ-Scheckheft,,,,,,,,4 Monate,,1000 km,,,ADA,0,,0,deny,manual,399,,FALSCH,WAHR
,,,8605,Mazda-2-1.5l-MZR-102PS-5Türer-SPORTS-SHZ-Scheckheft,,,,,,,,4 Monate,,1500 km,,,ADA,0,,0,deny,manual,416,,FALSCH,WAHR
,,,8543,Mazda-2-1.5l-MZR-102PS-5Türer-SPORTS-SHZ-Scheckheft,,,,,,,,4 Monate,,2000 km,,,ADA,0,,0,deny,manual,433,,FALSCH,WAHR
,,,8481,Mazda-2-1.5l-MZR-102PS-5Türer-SPORTS-SHZ-Scheckheft,,,,,,,,4 Monate,,2500 km,,,ADA,0,,0,deny,manual,450,,FALSCH,WAHR
,,,8613,Mazda-2-1.5l-MZR-102PS-5Türer-SPORTS-SHZ-Scheckheft,,,,,,,,5 Monate,,500 km,,,ADA,0,,0,deny,manual,370,,FALSCH,WAHR
,,,8536,Mazda-2-1.5l-MZR-102PS-5Türer-SPORTS-SHZ-Scheckheft,,,,,,,,5 Monate,,1000 km,,,ADA,0,,0,deny,manual,387,,FALSCH,WAHR
,,,8458,Mazda-2-1.5l-MZR-102PS-5Türer-SPORTS-SHZ-Scheckheft,,,,,,,,5 Monate,,1500 km,,,ADA,0,,0,deny,manual,404,,FALSCH,WAHR
,,,8381,Mazda-2-1.5l-MZR-102PS-5Türer-SPORTS-SHZ-Scheckheft,,,,,,,,5 Monate,,2000 km,,,ADA,0,,0,deny,manual,421,,FALSCH,WAHR
,,,8303,Mazda-2-1.5l-MZR-102PS-5Türer-SPORTS-SHZ-Scheckheft,,,,,,,,5 Monate,,2500 km,,,ADA,0,,0,deny,manual,438,,FALSCH,WAHR
,,,8498,Mazda-2-1.5l-MZR-102PS-5Türer-SPORTS-SHZ-Scheckheft,,,,,,,,6 Monate,,500 km,,,ADA,0,,0,deny,manual,362,,FALSCH,WAHR
,,,8405,Mazda-2-1.5l-MZR-102PS-5Türer-SPORTS-SHZ-Scheckheft,,,,,,,,6 Monate,,1000 km,,,ADA,0,,0,deny,manual,379,,FALSCH,WAHR
,,,8312,Mazda-2-1.5l-MZR-102PS-5Türer-SPORTS-SHZ-Scheckheft,,,,,,,,6 Monate,,1500 km,,,ADA,0,,0,deny,manual,396,,FALSCH,WAHR
,,,8219,Mazda-2-1.5l-MZR-102PS-5Türer-SPORTS-SHZ-Scheckheft,,,,,,,,6 Monate,,2000 km,,,ADA,0,,0,deny,manual,413,,FALSCH,WAHR
,,,8126,Mazda-2-1.5l-MZR-102PS-5Türer-SPORTS-SHZ-Scheckheft,,,,,,,,6 Monate,,2500 km,,,ADA,0,,0,deny,manual,448,,FALSCH,WAHR
,,,8382,Mazda-2-1.5l-MZR-102PS-5Türer-SPORTS-SHZ-Scheckheft,,,,,,,,7 Monate,,500 km,,,ADA,0,,0,deny,manual,372,,FALSCH,WAHR
,,,8274,Mazda-2-1.5l-MZR-102PS-5Türer-SPORTS-SHZ-Scheckheft,,,,,,,,7 Monate,,1000 km,,,ADA,0,,0,deny,manual,389,,FALSCH,WAHR
,,,8165,Mazda-2-1.5l-MZR-102PS-5Türer-SPORTS-SHZ-Scheckheft,,,,,,,,7 Monate,,1500 km,,,ADA,0,,0,deny,manual,406,,FALSCH,WAHR
,,,8057,Mazda-2-1.5l-MZR-102PS-5Türer-SPORTS-SHZ-Scheckheft,,,,,,,,7 Monate,,2000 km,,,ADA,0,,0,deny,manual,423,,FALSCH,WAHR
,,,7949,Mazda-2-1.5l-MZR-102PS-5Türer-SPORTS-SHZ-Scheckheft,,,,,,,,7 Monate,,2500 km,,,ADA,0,,0,deny,manual,440,,FALSCH,WAHR
,,,8267,Mazda-2-1.5l-MZR-102PS-5Türer-SPORTS-SHZ-Scheckheft,,,,,,,,8 Monate,,500 km,,,ADA,0,,0,deny,manual,365,,FALSCH,WAHR
,,,8143,Mazda-2-1.5l-MZR-102PS-5Türer-SPORTS-SHZ-Scheckheft,,,,,,,,8 Monate,,1000 km,,,ADA,0,,0,deny,manual,383,,FALSCH,WAHR
,,,8019,Mazda-2-1.5l-MZR-102PS-5Türer-SPORTS-SHZ-Scheckheft,,,,,,,,8 Monate,,1500 km,,,ADA,0,,0,deny,manual,400,,FALSCH,WAHR
,,,7895,Mazda-2-1.5l-MZR-102PS-5Türer-SPORTS-SHZ-Scheckheft,,,,,,,,8 Monate,,2000 km,,,ADA,0,,0,deny,manual,417,,FALSCH,WAHR
,,,7771,Mazda-2-1.5l-MZR-102PS-5Türer-SPORTS-SHZ-Scheckheft,,,,,,,,8 Monate,,2500 km,,,ADA,0,,0,deny,manual,434,,FALSCH,WAHR
,,,8151,Mazda-2-1.5l-MZR-102PS-5Türer-SPORTS-SHZ-Scheckheft,,,,,,,,9 Monate,,500 km,,,ADA,0,,0,deny,manual,361,,FALSCH,WAHR
,,,8012,Mazda-2-1.5l-MZR-102PS-5Türer-SPORTS-SHZ-Scheckheft,,,,,,,,9 Monate,,1000 km,,,ADA,0,,0,deny,manual,378,,FALSCH,WAHR
,,,7873,Mazda-2-1.5l-MZR-102PS-5Türer-SPORTS-SHZ-Scheckheft,,,,,,,,9 Monate,,1500 km,,,ADA,0,,0,deny,manual,395,,FALSCH,WAHR
,,,7733,Mazda-2-1.5l-MZR-102PS-5Türer-SPORTS-SHZ-Scheckheft,,,,,,,,9 Monate,,2000 km,,,ADA,0,,0,deny,manual,412,,FALSCH,WAHR
,,,7594,Mazda-2-1.5l-MZR-102PS-5Türer-SPORTS-SHZ-Scheckheft,,,,,,,,9 Monate,,2500 km,,,ADA,0,,0,deny,manual,429,,FALSCH,WAHR
,,,8036,Mazda-2-1.5l-MZR-102PS-5Türer-SPORTS-SHZ-Scheckheft,,,,,,,,10 Monate,,500 km,,,ADA,0,,0,deny,manual,357,,FALSCH,WAHR
,,,7881,Mazda-2-1.5l-MZR-102PS-5Türer-SPORTS-SHZ-Scheckheft,,,,,,,,10 Monate,,1000 km,,,ADA,0,,0,deny,manual,374,,FALSCH,WAHR
